country,LAU_ID,NUTS_ID_3,NUTS_ID_region
czechia,CZ576671,CZ052,CZ0
czechia,CZ576689,CZ052,CZ0
czechia,CZ576701,CZ052,CZ0
czechia,CZ576727,CZ052,CZ0
czechia,CZ576735,CZ052,CZ0
czechia,CZ576743,CZ052,CZ0
czechia,CZ576751,CZ052,CZ0
czechia,CZ576778,CZ052,CZ0
czechia,CZ576786,CZ052,CZ0
czechia,CZ576794,CZ052,CZ0
czechia,CZ576808,CZ052,CZ0
czechia,CZ576816,CZ052,CZ0
czechia,CZ576824,CZ052,CZ0
czechia,CZ576832,CZ052,CZ0
czechia,CZ576841,CZ052,CZ0
czechia,CZ576859,CZ052,CZ0
czechia,CZ576875,CZ052,CZ0
czechia,CZ576883,CZ052,CZ0
czechia,CZ576891,CZ052,CZ0
czechia,CZ576921,CZ052,CZ0
czechia,CZ576930,CZ052,CZ0
czechia,CZ576948,CZ052,CZ0
czechia,CZ576956,CZ052,CZ0
czechia,CZ576964,CZ051,CZ0
czechia,CZ576972,CZ051,CZ0
czechia,CZ576981,CZ051,CZ0
czechia,CZ576999,CZ051,CZ0
czechia,CZ577006,CZ051,CZ0
czechia,CZ577014,CZ051,CZ0
czechia,CZ577031,CZ051,CZ0
czechia,CZ577049,CZ051,CZ0
czechia,CZ577057,CZ051,CZ0
czechia,CZ577073,CZ051,CZ0
czechia,CZ577081,CZ051,CZ0
czechia,CZ577111,CZ051,CZ0
czechia,CZ577120,CZ051,CZ0
czechia,CZ577146,CZ051,CZ0
czechia,CZ577154,CZ051,CZ0
czechia,CZ577162,CZ051,CZ0
czechia,CZ577171,CZ051,CZ0
czechia,CZ577189,CZ051,CZ0
czechia,CZ577197,CZ051,CZ0
czechia,CZ577201,CZ051,CZ0
czechia,CZ577219,CZ051,CZ0
czechia,CZ577227,CZ051,CZ0
czechia,CZ577235,CZ051,CZ0
czechia,CZ577243,CZ051,CZ0
czechia,CZ577294,CZ051,CZ0
czechia,CZ577308,CZ051,CZ0
czechia,CZ577316,CZ051,CZ0
czechia,CZ577324,CZ051,CZ0
czechia,CZ577332,CZ051,CZ0
czechia,CZ577341,CZ051,CZ0
czechia,CZ577359,CZ051,CZ0
czechia,CZ577367,CZ051,CZ0
czechia,CZ577375,CZ051,CZ0
