"country","dataset_name","extension","path_input_folder","local_crs","id","height","type_source","age","floors","footprint","type_map","bldg_elem","extra","extra_attrib","nuts_level","nuts_name","is_has_lau_nuts3"
"italy","trentino-alto-adige-gov","shp","/p/projects/eubucco/data/0-raw-data/gvt-data/italy/trentino","EPSG:25832","None","mas_alt","tipo","None","None","None","None","None","edifici_tot_pat3D_2013","None","nuts2","['ITH1','ITH2']","no"
"italy","valle-d-aosta-gov","shp","/p/projects/eubucco/data/0-raw-data/gvt-data/italy/valle-d'aoste","EPSG:23032","None","None","None","None","None","None","None","None","01P01","None","nuts2","ITC2","no"
"italy","veneto-gov","shp","/p/projects/eubucco/data/0-raw-data/gvt-data/italy/veneto","EPSG:6876","classid","None","edi_uso","None","None","None","None","None","None","None","nuts2","ITH3","no"
"lithuania","lithuania-gov","gml","/p/projects/eubucco/data/0-raw-data/gvt-data/lithuania","EPSG:4258","gml:id","None","None","None","None","bu-core2d:geometry2D//gml:posList","None","bu-core2d:Building","2d","None","all","all","no"
"luxembourg","luxembourg-gov","gml","/p/projects/eubucco/data/0-raw-data/gvt-data/luxembourg","EPSG:2169","None","None","None","None","None","gml:surfaceMember//gml:posList","None","bldg:Building","solid","None","all","all","no"
"malta","malta-gov","gml","/p/projects/eubucco/data/0-raw-data/gvt-data/malta","EPSG:4258","gml:id","bu-base:heightAboveGround//bu-base:value[@uom=""m""]","None","None","None","bu-core2d:geometry2D//gml:posList","None","bu-core2d:Building","2d","None","all","all","no"
"netherlands","netherlands-gov","shp","/p/projects/eubucco/data/0-raw-data/gvt-data/netherlands","EPSG:28992","FID","None","None","OORSPRONKE","None","None","None","None","compute_height","['DAK_TYPE']","all","all","no"
"poland","poland-gov","gml","/p/projects/eubucco/data/0-raw-data/gvt-data/poland/poland_lod1","EPSG:2180","gml:id","None","None","None","None","gml:surfaceMember//gml:posList","None","bldg:Building","solid","{'roof type':['uni_attrib','bldg:roofType']}","all","all","no"
"slovakia","slovakia-gov","gml","/p/projects/eubucco/data/0-raw-data/gvt-data/slovakia","EPSG:4258","gml:id","fme:heightAboveGround","fme:currentUse","None","None","gml:Surface//gml:posList","None","fme:BuildingS","2d","{'conditionOfConstruction':['uni_attrib','fme:conditionOfConstruction'],'status':['uni_attrib','fme:status'],'heightReference':['uni_attrib','fme:heightReference'],'buildingNature':['uni_attrib','fme:buildingNature'],'verticalGeometryEstimatedAccuracy':['uni_attrib','fme:verticalGeometryEstimatedAccuracy']}","all","all","no"
"slovenia","slovenia-gov","shp","/p/projects/eubucco/data/0-raw-data/gvt-data/slovenia","EPSG:3794","SID","None","NAM_SIF","None","ETAZA","None","None","None","compute_height","None","all","all","no"
"spain","spain-gov","gml","/p/projects/eubucco/data/0-raw-data/gvt-data/spain","EPSG:25831","gml_id","None","bu-ext2d:currentUse","bu-core2d:end","None","gml:Surface//gml:posList","None","bu-ext2d:Building","2d","None","all","all","no"
"switzerland","switzerland-gov","gml","/p/projects/eubucco/data/0-raw-data/gvt-data/switzerland","EPSG:2056","gml:id","None","None","None","None","bldg:GroundSurface//gml:posList","None","bldg:Building","compute_height","None","all","all","no"
